PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r200r600r1000c,r2000r3000c,cr9000f,,Qc8cKcKd7d9sJc4d,-3000|3000,DeepStack,sethi.muskan.1 
r300c,k,r750f,,Kd2c6c7hQcKs9s4c,300|-300,sethi.muskan.1,DeepStack 
r200f,,,,2s5cKdQh,-100|100,DeepStack,sethi.muskan.1 
k,k,r200f,,7s8cQs4c8sJsTc9s,100|-100,DeepStack,qin.youwei.2 
cr300c,r900f,,,KdQh2hJsJdKc7c,300|-300,DeepStack,qin.youwei.1 
r300c,r750f,,,Jh7hJd7c3s4cTc,300|-300,sethi.muskan.1,DeepStack 
r200c,cr400c,k,r800f,7s5dKc4s6dQdAh9s4h,400|-400,DeepStack,sethi.muskan.1 
r300r750c,r1875c,cr3750c,r9375r20000f,QcTs5s7s5dJcKh8c2s,-9375|9375,sethi.muskan.1,DeepStack 
r200c,cr600f,,,6c9s2hQcQdTcJd,-200|200,DeepStack,sethi.muskan.1 
r200r500c,r1250f,,,KsJc7c8h5hQhQc,500|-500,sethi.muskan.1,DeepStack 
r200r600f,,,,QsAh7h3c,200|-200,DeepStack,sethi.muskan.1 
cr250c,r750c,cr1500f,,7s7dJc7c6hJsJd3d,-750|750,sethi.muskan.1,DeepStack 
r200f,,,,6h3dTs9d,-100|100,DeepStack,sethi.muskan.1 
k,cr200c,cr600r1500f,,6h2d9d3h4c8dJhTh,600|-600,sethi.muskan.1,DeepStack 
r200c,cr600f,,,QcTd8cTc2s6d3d,-200|200,DeepStack,sethi.muskan.1 
r300f,,,,3c2sAdQc,-100|100,sethi.muskan.1,DeepStack 
r200c,cr500f,,,4d2d3hKhJs5h9d,-200|200,DeepStack,sethi.muskan.1 
r200c,cr600c,cr1800c,k,9s8c3h5dJdTcAsKd9h,1800|-1800,sethi.muskan.1,DeepStack 
f,,,,7dQs4c6d,50|-50,DeepStack,sethi.muskan.1 
r200f,,,,2sJc8hTc,-100|100,sethi.muskan.1,DeepStack 
r200c,k,k,cr400c,3hJd6cTc3s7h9hKc7c,400|-400,DeepStack,sethi.muskan.1 
k,r200c,cr400f,,4sQd8h6hKh2c6s8d,-200|200,sethi.muskan.1,DeepStack 
r200c,cr400c,k,r800f,4cJhAc9s8sQdJdQc2s,400|-400,DeepStack,sethi.muskan.1 
r300f,,,,6s5h4h4s,-100|100,sethi.muskan.1,DeepStack 
r200c,cr600r1200c,r3600f,,Qs6cAd2sQc2c6s3d,1200|-1200,DeepStack,sethi.muskan.1 
f,,,,2d5h8h2s,50|-50,sethi.muskan.1,DeepStack 
f,,,,2sQd4h9s,50|-50,DeepStack,sethi.muskan.1 
r300r900c,r2700r5400f,,,Ac8c3d4d5d4s4h,-2700|2700,sethi.muskan.1,DeepStack 
f,,,,Jh7dKh3d,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,Qs2cQcTs,-100|100,sethi.muskan.1,DeepStack 
r200f,,,,3c8sKhJc,-100|100,DeepStack,sethi.muskan.1 
r300c,k,k,r600r1200f,Kd2c9h7h9c7s8d5cAh,-600|600,sethi.muskan.1,DeepStack 
r300c,cr900c,k,cr2700c,Qh8c2sAd9cAcQdTd3c,-2700|2700,DeepStack,sethi.muskan.1 
r300r750c,r1875r3750f,,,TsAhAc6c6d7c6s,-1875|1875,sethi.muskan.1,DeepStack 
r200c,cr500f,,,3hKh5hQc6d5cJd,-200|200,DeepStack,sethi.muskan.1 
r200c,cr400r800f,,,8hKc7cKs9sTs9h,400|-400,sethi.muskan.1,DeepStack 
r200c,k,k,r600f,7dJh8dKc9hJs3sQcQs,200|-200,DeepStack,sethi.muskan.1 
r300f,,,,8d9cJsAh,-100|100,sethi.muskan.1,DeepStack 
r200c,cr400f,,,Td8sAs3s7c3c5s,-200|200,DeepStack,sethi.muskan.1 
r300f,,,,3cKc5cJd,-100|100,qin.youwei.2,DeepStack 
k,cr200f,,,9h4c2h7hAcTs5d,-100|100,sethi.muskan.1,DeepStack 
r200f,,,,3c8dAd2s,-100|100,DeepStack,sethi.muskan.1 
r300f,,,,Js2c2dKc,-100|100,sethi.muskan.1,DeepStack 
r200c,cr500c,cr1500f,,AdThJcAc4c3dQh7c,-500|500,DeepStack,sethi.muskan.1 
cr300f,,,,JsKhJh6d,100|-100,sethi.muskan.1,DeepStack 
r200c,k,k,cr500f,2sJc2cAcTh3d7dTs4s,-200|200,DeepStack,sethi.muskan.1 
k,k,cr200c,cr400f,2hQsJd3hKsTs3cJs4d,-200|200,sethi.muskan.1,DeepStack 
f,,,,Kh2h3c8d,50|-50,DeepStack,sethi.muskan.1 
r300c,k,r750f,,8s9dAd7s5cThJsTs,300|-300,sethi.muskan.1,DeepStack 
k,cr300c,cr900c,cr4500f,Qc6d9sTd6hTcTs3h4s,-900|900,DeepStack,sethi.muskan.1 
cr200c,r500c,r1250c,r3750f,Qd9d7c4s5s7d2dJdTs,1250|-1250,sethi.muskan.1,DeepStack 
f,,,,6s5h3c4s,50|-50,DeepStack,sethi.muskan.1 
r200f,,,,9c2s4dKc,-100|100,sethi.muskan.1,DeepStack 
f,,,,TcTd2c7s,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,6hQc6s7c,-100|100,sethi.muskan.1,DeepStack 
r200c,cr500f,,,6sKd9dKh7h6d8c,-200|200,DeepStack,sethi.muskan.1 
r300c,k,r900c,r2250f,Kh3h9hTd6s7sKdTh7d,900|-900,sethi.muskan.1,DeepStack 
cr300c,cr600f,,,4d4h6cKd9hAsQd,-300|300,DeepStack,sethi.muskan.1 
r300f,,,,6s8dJdAd,-100|100,sethi.muskan.1,DeepStack 
f,,,,TdKh7h2s,50|-50,DeepStack,sethi.muskan.1 
k,r300c,r750c,r1875c,Jc2c9sAhAcTh8cQd2h,-1875|1875,sethi.muskan.1,DeepStack 
f,,,,Kc6s5h7d,50|-50,DeepStack,sethi.muskan.1 
k,r300c,r900f,,5hQs4cTdTs7s5s3s,300|-300,sethi.muskan.1,DeepStack 
r200c,cr600f,,,Kc7dTdQc5s9sTh,-200|200,DeepStack,sethi.muskan.1 
r200c,cr600f,,,6cAsQhAd8cTh3d,-200|200,sethi.muskan.1,DeepStack 
f,,,,6s7c2c3s,50|-50,DeepStack,sethi.muskan.1 
r300c,r900f,,,JhTc8dKh2cThJs,300|-300,sethi.muskan.1,DeepStack 
f,,,,Kc4s3d6h,50|-50,DeepStack,sethi.muskan.1 
cr200c,r500f,,,Ac7sJs5c6d2hTs,200|-200,sethi.muskan.1,DeepStack 
f,,,,4d5dTs6h,50|-50,DeepStack,sethi.muskan.1 
k,r200f,,,5hQd2hKc3c7sQh,100|-100,shabalin.ivan.1,DeepStack 
r200c,k,cr400c,k,8hQdJdJcAc5dTc9dQh,400|-400,DeepStack,shabalin.ivan.1 
r300c,k,k,k,Kc4c3d5cTd9sAcTs8h,300|-300,shabalin.ivan.1,DeepStack 
k,cr200c,cr400f,,Kh7c4sJh9hJc8s4h,-200|200,DeepStack,shabalin.ivan.1 
r200f,,,,2c7d7sAd,-100|100,shabalin.ivan.1,DeepStack 
r200c,k,cr400f,,3cKcAcJsThAs6c9h,-200|200,DeepStack,shabalin.ivan.1 
r200c,cr400c,k,r1200f,TcJhKcJsTs3s3d3h9c,400|-400,shabalin.ivan.1,DeepStack 
k,cr200f,,,3d5s9d3s7c9sKc,-100|100,DeepStack,shabalin.ivan.1 
r300f,,,,6sKd7c4c,-100|100,shabalin.ivan.1,DeepStack 
r200r600f,,,,JdQs7dAh,200|-200,DeepStack,shabalin.ivan.1 
r300f,,,,Jc3hKsJh,-100|100,shabalin.ivan.1,DeepStack 
r200r600f,,,,KsTs3c5h,200|-200,DeepStack,shabalin.ivan.1 
k,cr300f,,,3d4s2hTsJs6hAh,-100|100,shabalin.ivan.1,DeepStack 
k,k,r200c,k,9h3h4dQc3c2hJc8s6d,200|-200,DeepStack,shabalin.ivan.1 
k,cr300f,,,Js3c4d9h3h8dTh,-100|100,shabalin.ivan.1,DeepStack 
k,cr200f,,,Js2dAh6dKd5sAc,-100|100,DeepStack,shabalin.ivan.1 
r200c,cr400c,k,k,8s9dAh2d2s5d6hTdTs,-400|400,shabalin.ivan.1,DeepStack 
k,cr200c,k,k,Qc8d7d8c7sAh4d4s9c,-200|200,DeepStack,shabalin.ivan.1 
r300f,,,,4d9cKc2h,-100|100,shabalin.ivan.1,DeepStack 
r200r600c,cr1200f,,,5h7hQs3sJs2cTs,-600|600,DeepStack,shabalin.ivan.1 
k,k,cr200f,,8s9s5sJh4c3dAhQh,-100|100,sethi.muskan.1,DeepStack 
r250r750r1250c,cr3125c,cr6250c,cr20000c,JsTc9s9dQcTsThJdKd,20000|-20000,DeepStack,sethi.muskan.1 
k,r200c,k,r500c,2c9h5c7h4s8d7d8s2h,-500|500,sethi.muskan.1,DeepStack 
r200r20000f,,,,Jc9s8s2s,200|-200,DeepStack,sethi.muskan.1 
r300r750c,cr1500c,cr3000r9000f,,KdJd4h3hJs5hJh9d,3000|-3000,sethi.muskan.1,DeepStack 
r200c,cr500c,cr1500c,k,Qd6hAd4dQc7s6c2dTh,1500|-1500,DeepStack,sethi.muskan.1 
k,k,r300c,cr600c,5cQdTsAc6hQhTcKcJc,-600|600,sethi.muskan.1,DeepStack 
r200c,cr600f,,,JdTs7cTc3c2dAc,-200|200,DeepStack,sethi.muskan.1 
k,k,r300c,k,6d5cJd7h7dQh9d4s9h,-300|300,sethi.muskan.1,DeepStack 
f,,,,5d8c5s9d,50|-50,DeepStack,sethi.muskan.1 
r200c,r600f,,,QcTdQh6s8sKd3h,200|-200,sethi.muskan.1,DeepStack 
f,,,,9hJd5h4c,50|-50,DeepStack,sethi.muskan.1 
r300c,k,k,r900f,Td7hQd4h6s6c8dQcAc,300|-300,sethi.muskan.1,DeepStack 
f,,,,9s4c5h7c,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,Ks2c2sAs,-100|100,sethi.muskan.1,DeepStack 
r300f,,,,3c9d8sQd,-100|100,DeepStack,sethi.muskan.1 
k,k,cr200f,,Kh6c9c5s9hJc7h5d,-100|100,sethi.muskan.1,DeepStack 
r300r500r1000c,cr2000c,cr4000r10000f,,Th8s4h5hAd4s8dTd,4000|-4000,sethi.muskan.4,DeepStack 
f,,,,5cJcKd7s,50|-50,DeepStack,sethi.muskan.1 
r300r750r2250f,,,,Ah3s9cKs,-750|750,sethi.muskan.1,DeepStack 
f,,,,9sTh2c6d,50|-50,DeepStack,sethi.muskan.1 
r200c,k,cr600c,k,Qh5s2s7s5cQd8sJd9c,600|-600,DeepStack,sethi.muskan.4 
r300f,,,,5h7c5sQc,-100|100,sethi.muskan.1,DeepStack 
r200c,cr500f,,,8dTc5d4dAsAcQs,-200|200,DeepStack,sethi.muskan.1 
k,k,r250c,k,7cTh7d5dQh5sJh8s8d,-250|250,sethi.muskan.4,DeepStack 
k,k,k,k,Qh4d7sAd3hKsThTs9d,-100|100,sethi.muskan.1,DeepStack 
r300f,,,,4hKs4d6c,-100|100,shabalin.ivan.1,DeepStack 
r200f,,,,5d2cJdKc,-100|100,DeepStack,sethi.muskan.4 
k,cr200c,cr400c,cr800f,7cQs6sAcTs9h7dAd6h,-400|400,DeepStack,shabalin.ivan.1 
r300r900c,r2700c,r6750c,cr20000f,AsQs8s7s9h5c6dKd8d,-6750|6750,sethi.muskan.4,DeepStack 
r300f,,,,2s8h7s7h,-100|100,DeepStack,sethi.muskan.1 
r300f,,,,8s2h2c6c,-100|100,sethi.muskan.1,DeepStack 
r200c,cr600c,k,k,4dAc8hQsKc9cQcKh3h,-600|600,shabalin.ivan.1,DeepStack 
f,,,,6hAc5dQh,50|-50,DeepStack,sethi.muskan.1 
f,,,,AcTc7s2d,50|-50,DeepStack,sethi.muskan.4 
cr300f,,,,4sAcJc2d,100|-100,sethi.muskan.1,DeepStack 
r200c,cr400f,,,Ad4s6s6dQs6hKs,-200|200,sethi.muskan.4,DeepStack 
f,,,,4sJsQs6h,50|-50,DeepStack,sethi.muskan.1 
k,k,r200f,,Th6hTs3dQh6sQc5s,100|-100,DeepStack,shabalin.ivan.1 
r300f,,,,8dQh9s7c,-100|100,sethi.muskan.1,DeepStack 
f,,,,4c5s5c2h,50|-50,DeepStack,sethi.muskan.4 
f,,,,9d8s7dJh,50|-50,DeepStack,sethi.muskan.1 
cr300f,,,,4cAsJs3c,100|-100,sethi.muskan.4,DeepStack 
r200c,k,r500c,k,6s4hQcKh3c2h7s7c8h,-500|500,sethi.muskan.1,DeepStack 
r200c,k,r400c,k,8sTs3sAdQsJc4h4s8c,400|-400,shabalin.ivan.1,DeepStack 
f,,,,Qd5s7h5d,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,3dQh8d9h,-100|100,sethi.muskan.4,DeepStack 
r250c,k,r500f,,5dKs5c2cQd9c8hJh,250|-250,DeepStack,sethi.muskan.4 
f,,,,JcTc3dQc,50|-50,DeepStack,sethi.muskan.1 
r300c,k,k,cr600f,KdJs6hTsQc5c3c5sTd,-300|300,sethi.muskan.1,DeepStack 
r200f,,,,2d7cQs4s,-100|100,DeepStack,shabalin.ivan.1 
r200c,cr400f,,,Ah2d7h9c6hQh7s,-200|200,sethi.muskan.4,DeepStack 
r300f,,,,Tc6sKd2h,-100|100,shabalin.ivan.1,DeepStack 
r200c,k,k,k,3d5h3h4h8d7cQh9c4s,-200|200,DeepStack,shabalin.ivan.1 
f,,,,5c7sKc6d,50|-50,DeepStack,sethi.muskan.1 
r250r750c,k,r2250c,cr11250f,JsKs6cQcAh2s3cQsQd,-2250|2250,DeepStack,sethi.muskan.4 
k,r200f,,,9dAc3dTs7c2dAs,100|-100,shabalin.ivan.1,DeepStack 
r300r900c,r2250c,r6750c,r20000f,ThAcJd4d5c7sJc4cAd,6750|-6750,sethi.muskan.1,DeepStack 
r200f,,,,2s9cQd5c,-100|100,sethi.muskan.4,DeepStack 
r200c,cr400c,cr800f,,Ks3hQcJd7hQd7sJc,-400|400,DeepStack,shabalin.ivan.1 
cr300c,r900f,,,8h6h5s2sJsAhKc,300|-300,DeepStack,sethi.muskan.4 
f,,,,Ac7s5d6s,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,5h8cQsKc,-100|100,shabalin.ivan.1,DeepStack 
f,,,,Kh8c7s2d,50|-50,sethi.muskan.4,DeepStack 
k,k,k,r300f,6hJs3d3h9h9sTsAsJc,100|-100,sethi.muskan.1,DeepStack 
k,k,cr200f,,2c7s7hTsQhJdJcQc,-100|100,DeepStack,shabalin.ivan.1 
f,,,,AhKd8h5d,50|-50,DeepStack,sethi.muskan.4 
r200r700c,r1750f,,,AdKd9hQh3h2c4c,700|-700,shabalin.ivan.1,DeepStack 
cr300c,r600f,,,5d4d8cTcQd2cAs,300|-300,DeepStack,sethi.muskan.1 
k,k,cr300f,,9h3dJc4d2dThQcKs,-100|100,sethi.muskan.4,DeepStack 
cr250c,r750c,r2250c,r6750c,Ah9d3cAdAc5d7s4h6d,-6750|6750,sethi.muskan.1,DeepStack 
r200c,r400r800f,,,Qd6s7c6h5d4h4c,-400|400,DeepStack,shabalin.ivan.1 
r250c,cr625r1875c,cr5625c,cr20000f,5d7h5c2c6d3d4cQd9h,-5625|5625,DeepStack,sethi.muskan.4 
k,k,cr200c,cr600f,3h3s6hQsJc2h7cQhKd,-200|200,shabalin.ivan.1,DeepStack 
r200c,k,cr600f,,9h5cJcJd4hJs4c8c,-200|200,DeepStack,sethi.muskan.1 
r300f,,,,5c8d6d6c,-100|100,sethi.muskan.4,DeepStack 
f,,,,8sAsTs6c,50|-50,DeepStack,sethi.muskan.4 
k,k,r300c,r600c,5h4s4cJh3cKc7dJc9c,-600|600,DeepStack,shabalin.ivan.1 
k,cr200f,,,9c5cThAs3dTdQh,-100|100,sethi.muskan.4,DeepStack 
f,,,,QhTh4s2c,50|-50,sethi.muskan.1,DeepStack 
f,,,,7dKc3c8h,50|-50,DeepStack,sethi.muskan.1 
cr300c,k,cr600f,,Ad7s4dJhTc5s2dKc,-300|300,sethi.muskan.1,DeepStack 
f,,,,6h5hTc4c,50|-50,DeepStack,sethi.muskan.4 
r200f,,,,8s4cTs7s,-100|100,shabalin.ivan.1,DeepStack 
r300c,k,k,cr900f,JcKs3c5c8hThAh8s6d,-300|300,sethi.muskan.4,DeepStack 
k,k,cr200r600f,,7h4s3d8sAcTh6hTd,200|-200,DeepStack,shabalin.ivan.1 
f,,,,KcAs4s5c,50|-50,DeepStack,sethi.muskan.1 
r300c,k,k,r400c,6hAh5d8cQc7s8dTh2c,-400|400,shabalin.ivan.1,DeepStack 
f,,,,3d6hKd3s,50|-50,DeepStack,sethi.muskan.4 
r300r900f,,,,6c7c9c3c,300|-300,sethi.muskan.1,DeepStack 
r300r900c,r2700f,,,AsQs6d3d7sTsQd,900|-900,sethi.muskan.4,DeepStack 
f,,,,JdTh3d4h,50|-50,DeepStack,sethi.muskan.1 
cr300f,,,,Kh8h4cJs,100|-100,DeepStack,shabalin.ivan.1 
f,,,,Tc9h8hJs,50|-50,DeepStack,sethi.muskan.4 
r200f,,,,3s9h6cKh,-100|100,shabalin.ivan.1,DeepStack 
k,r300f,,,7s5hJh6d8c7c2d,100|-100,sethi.muskan.4,DeepStack 
cr300c,cr900r2250f,,,9h9s5hJh3s9cQh,900|-900,sethi.muskan.1,DeepStack 
k,k,r200c,k,6h9c2sAd7c5s6sKc4c,200|-200,DeepStack,shabalin.ivan.1 
f,,,,QcQh9cTd,50|-50,DeepStack,sethi.muskan.4 
f,,,,AdTh4sQd,50|-50,DeepStack,sethi.muskan.1 
r200c,k,k,k,KhJdKc5hTs9s6h7h2d,200|-200,sethi.muskan.4,DeepStack 
f,,,,TcQs5c2s,50|-50,sethi.muskan.1,DeepStack 
k,cr200f,,,5sJd2dQh6h2cTd,-100|100,shabalin.ivan.1,DeepStack 
k,k,k,k,Qd6cJcQh4cTd5sAh3c,-100|100,DeepStack,sethi.muskan.1 
cr300f,,,,Ac2c7h4c,100|-100,DeepStack,shabalin.ivan.1 
cr300c,r900f,,,5c2c9h8h4dQh3c,300|-300,DeepStack,sethi.muskan.4 
k,r250c,r625c,k,2c5dJd6cAcJc4s5c3s,625|-625,shabalin.ivan.1,DeepStack 
f,,,,8h7d2h6d,50|-50,sethi.muskan.4,DeepStack 
f,,,,7c4sKs6d,50|-50,DeepStack,sethi.muskan.4 
f,,,,9s2h2s3h,50|-50,sethi.muskan.1,DeepStack 
f,,,,9c6sQc4s,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,6cTd3dAs,-100|100,sethi.muskan.4,DeepStack 
k,cr200f,,,3dTc4c8sKc4s2h,-100|100,sethi.muskan.1,DeepStack 
f,,,,AcQh7s4s,50|-50,DeepStack,sethi.muskan.4 
cr300c,r600f,,,Qd9s2s3s5c6sJc,300|-300,DeepStack,shabalin.ivan.1 
k,k,k,k,Tc5d2sQhJc2h4s7dAd,-100|100,sethi.muskan.4,DeepStack 
k,k,cr300f,,3cJsTcJc2c6h8s5c,-100|100,DeepStack,sethi.muskan.1 
r300r1000c,r3000f,,,AdKd4s2sJs6d9h,1000|-1000,shabalin.ivan.1,DeepStack 
f,,,,6sJc3d4c,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,Qd7sJs7c,-100|100,sethi.muskan.4,DeepStack 
r300f,,,,5dKcJsJc,-100|100,sethi.muskan.1,DeepStack 
f,,,,9dJc9c8s,50|-50,DeepStack,sethi.muskan.1 
r200c,k,cr300f,,2hAdQsTc8s3cKsTs,-200|200,DeepStack,shabalin.ivan.1 
r200c,r600c,cr1200c,r3600f,TcJdJcKc9hQh6s9cQd,1200|-1200,sethi.muskan.1,DeepStack 
k,k,r200f,,4cQcQs4h8h3d7c6c,100|-100,shabalin.ivan.1,DeepStack 
r200c,cr500f,,,6hTs8hTh9d3cKc,-200|200,DeepStack,shabalin.ivan.1 
r300f,,,,Kh3dAd4c,-100|100,DeepStack,sethi.muskan.1 
f,,,,7sJs7c6h,50|-50,DeepStack,sethi.muskan.4 
r300c,r750c,k,r2250c,7c9c8sTs8h7h6cQhTc,2250|-2250,sethi.muskan.1,DeepStack 
k,k,k,k,Th5d5sAh9hKs6c8sTs,100|-100,sethi.muskan.4,DeepStack 
r300f,,,,Jc4s7s9s,-100|100,shabalin.ivan.1,DeepStack 
k,cr200c,k,cr500c,Qs5s5dTs5c2c3d9hTc,-500|500,DeepStack,shabalin.ivan.1 
f,,,,9d9c6dJs,50|-50,DeepStack,sethi.muskan.1 
cr300c,r600f,,,5h4h7hKh5d2cJh,300|-300,DeepStack,sethi.muskan.4 
f,,,,6d7c2c9d,50|-50,sethi.muskan.1,DeepStack 
f,,,,8dKd9h4d,50|-50,DeepStack,sethi.muskan.1 
r200c,r400c,cr1200f,,7cQcJd3d6h4s5cTs,-400|400,shabalin.ivan.1,DeepStack 
r300c,cr600c,r1800c,r5400c,5sJsJhQhJd3h2c7c6h,-5400|5400,sethi.muskan.1,DeepStack 
r200f,,,,5h8cTcQh,-100|100,sethi.muskan.4,DeepStack 
f,,,,7cTs3hTh,50|-50,DeepStack,sethi.muskan.4 
r200c,cr400r800c,k,r2400f,Qc5dJdQhTdAdAh3c4d,800|-800,DeepStack,shabalin.ivan.1 
cr300c,r750c,cr2250f,,2dAcJhTc9d4c2s9h,-750|750,sethi.muskan.4,DeepStack 
r200c,cr500f,,,5sThAc8d9c6d7h,-200|200,DeepStack,sethi.muskan.1 
r200f,,,,5hQd6s7h,-100|100,sethi.muskan.1,DeepStack 
f,,,,4s9h8d3c,50|-50,DeepStack,sethi.muskan.4 
f,,,,5dAh5h2c,50|-50,DeepStack,sethi.muskan.1 
cr300c,r900f,,,JsJh6cJc7sQd8d,300|-300,sethi.muskan.4,DeepStack 
r200c,cr400f,,,4s8s7sTh6cQcTd,-200|200,sethi.muskan.1,DeepStack 
k,cr200f,,,9sTd4hJcAc6h5s,-100|100,shabalin.ivan.1,DeepStack 
k,k,r200f,,8d4sQsKhAs2c7dJh,100|-100,DeepStack,sethi.muskan.4 
f,,,,6d8hKc7h,50|-50,DeepStack,sethi.muskan.1 
cr300f,,,,ThQs4sKd,100|-100,DeepStack,shabalin.ivan.1 
r300c,cr900f,,,KdQd8cKh8s7sAh,-300|300,shabalin.ivan.1,DeepStack 
r300c,k,cr600f,,7d2d7c4s8sQh8d2s,-300|300,sethi.muskan.4,DeepStack 
k,cr250r500c,cr1500f,,Jh3h8hAhJs7dThKc,-500|500,DeepStack,shabalin.ivan.1 
k,r300f,,,TsKcJhKd8dTc3c,100|-100,sethi.muskan.1,DeepStack 
f,,,,9d3s4dTc,50|-50,DeepStack,sethi.muskan.4 
f,,,,4d4s4h9d,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,5s3s6h6d,-100|100,shabalin.ivan.1,DeepStack 
r200c,cr500f,,,2c5cQdKhJd6d9c,-200|200,DeepStack,shabalin.ivan.1 
r300f,,,,7cQhTd6s,-100|100,sethi.muskan.4,DeepStack 
r250f,,,,4s2hJsJd,-100|100,DeepStack,sethi.muskan.4 
cr200c,r600f,,,AhKhTc2dJd7h9h,200|-200,sethi.muskan.1,DeepStack 
k,cr300f,,,9c3s8sAd4cJh6s,-100|100,sethi.muskan.4,DeepStack 
cr200c,k,cr600c,k,9d6cAc5d9h9s3d9c4s,600|-600,DeepStack,sethi.muskan.1 
f,,,,Ah4d7c8d,50|-50,DeepStack,sethi.muskan.4 
r300r500c,cr1000r3000f,,,KcKh5cKdQs3sKs,1000|-1000,sethi.muskan.4,DeepStack 
cr300c,k,cr900c,k,Jd9dJsKd5dAdTd8hTh,900|-900,DeepStack,sethi.muskan.4 
r200f,,,,3c8hAc7c,-100|100,sethi.muskan.1,DeepStack 
r300r900r1500r4500r20000f,,,,TdAh4c2d,-4500|4500,DeepStack,qin.youwei.2 
r200r300c,r750f,,,JhAh7hQhTcAd3s,300|-300,sethi.muskan.4,DeepStack 
f,,,,TsTh5cKh,50|-50,DeepStack,sethi.muskan.4 
r200r300c,r900f,,,Ad3s6d4c9dKcAc,300|-300,sethi.muskan.4,DeepStack 
cr300c,k,k,k,4h8c9hTsJd2dTh7cAs,-300|300,qin.youwei.2,DeepStack 
f,,,,8sAhQh2c,50|-50,DeepStack,sethi.muskan.4 
r200c,cr600c,k,k,6d5dTc3cQh2d6c8dQs,600|-600,sethi.muskan.4,DeepStack 
cr300c,r600f,,,Th9h4s4dJd9dQh,300|-300,DeepStack,sethi.muskan.4 
r200f,,,,4h8cJdTd,-100|100,sethi.muskan.4,DeepStack 
f,,,,TdQd4h8d,50|-50,DeepStack,sethi.muskan.4 
cr250f,,,,TdAd9c4h,100|-100,sethi.muskan.4,DeepStack 
r200r600f,,,,5c6c2hAc,200|-200,DeepStack,sethi.muskan.4 
k,k,k,cr300f,6cKc4s9c2h3h8h9sTd,-100|100,sethi.muskan.4,DeepStack 
k,k,k,r200f,9d4sJcTc5c5hAh9sQh,100|-100,DeepStack,sethi.muskan.4 
r200f,,,,8sJc2hJh,-100|100,sethi.muskan.4,DeepStack 
r200c,k,r400f,,JdTd5d6d2sTs8s7h,200|-200,shabalin.ivan.1,DeepStack 
k,k,k,r200f,2d8d2cKc6hQsQc4h7c,100|-100,DeepStack,sethi.muskan.4 
r200r600c,r1200f,,,AsKsTcQs6hAc4c,600|-600,DeepStack,shabalin.ivan.1 
r200c,k,cr600f,,Qd5cJd7d8sTs2h9c,-200|200,shabalin.ivan.1,DeepStack 
f,,,,2h3d2d5c,50|-50,sethi.muskan.4,DeepStack 
f,,,,6hQsJc2h,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,Ks6d2s2h,-100|100,sethi.muskan.4,DeepStack 
r300c,k,k,k,2h2sAc3sKc3c8d9cJs,-300|300,DeepStack,sethi.muskan.4 
r200f,,,,9d3sKcJs,-100|100,DeepStack,shabalin.ivan.1 
r300f,,,,Qd6h8cQs,-100|100,shabalin.ivan.1,DeepStack 
r200f,,,,8cTs3cKs,-100|100,sethi.muskan.4,DeepStack 
k,k,cr200f,,3c9h5hJhTd8h2cAd,-100|100,DeepStack,shabalin.ivan.1 
f,,,,4h2c6dQs,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,3hJs3c8c,-100|100,sethi.muskan.4,DeepStack 
r200r600c,cr1800f,,,7c7h3sAs8sJcQs,-600|600,DeepStack,sethi.muskan.4 
r300f,,,,Qh5s6h8s,-100|100,shabalin.ivan.1,DeepStack 
r200c,cr400c,k,r1200c,Jd7sJs4sJh3h6sAs8c,1200|-1200,DeepStack,shabalin.ivan.1 
r200c,k,k,k,5dKd6cKsTh3s3dJc7h,0|0,sethi.muskan.4,DeepStack 
r300f,,,,7d8cTc4c,-100|100,shabalin.ivan.1,DeepStack 
r200c,cr500c,k,r1000c,Js5d9sJcTdAcJd5h3s,1000|-1000,DeepStack,shabalin.ivan.1 
k,k,k,r300r900f,9cKh6s7s2d9d5d3h8h,-300|300,DeepStack,sethi.muskan.4 
r300f,,,,Kh7s8dTd,-100|100,shabalin.ivan.1,DeepStack 
r200c,cr400f,,,6cTsJsKcQh9h2d,-200|200,DeepStack,shabalin.ivan.1 
k,cr300c,k,k,7c5s4h9cAc2hQhAd7h,300|-300,sethi.muskan.4,DeepStack 
r300c,cr600c,cr1200c,k,TcKcAhJs9s6cJh7dQd,1200|-1200,shabalin.ivan.1,DeepStack 
f,,,,2dQc9s3c,50|-50,DeepStack,sethi.muskan.4 
k,cr200c,cr600c,r1500c,7sJdTc4sTh7d6s3h2s,-1500|1500,sethi.muskan.4,DeepStack 
f,,,,Tc4c5hJd,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,8s9hAd3s,-100|100,sethi.muskan.4,DeepStack 
r200c,cr500f,,,3c8cAcKhAsQcAd,-200|200,DeepStack,sethi.muskan.4 
